id,stores,title,main_image,detail_images,categories,body
product1,1,2-Seater,images/molla/product/1-1.jpg,images/molla/product/1-1.jpg|images/molla/product/1-2.jpg,Furniture,"Sed egestas, ante et vulputate volutpat, eros pede semper est, vitae luctus metus libero eu augue. Morbi purus libero, faucibus adipiscing. Sed lectus."
product2,1,Block Side Table/Trolley,images/molla/product/2-1.jpg,images/molla/product/2-1.jpg|images/molla/product/2-2.jpg,Coffee & Tables|Furniture|Tables,"Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product3,1,Butler Stool Ladder,images/molla/product/3-1.jpg,images/molla/product/3-1.jpg|images/molla/product/3-2.jpg,Furniture,"Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product4,1,Can 2-Seater Sofa,images/molla/product/4-1.jpg,images/molla/product/4-1.jpg|images/molla/product/4-2.jpg,Furniture,"Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product5,1,Roots Sofa Bed,images/molla/product/5-1.jpg,images/molla/product/5-1.jpg|images/molla/product/5-2.jpg,Furniture,"Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product6,1,Carronade Table Lamp,images/molla/product/6-1.jpg,images/molla/product/6-1.jpg|images/molla/product/6-2.jpg,Decoration|Electronics|Lighting,"Sed egestas, ante et vulputate volutpat, eros pede semper est, vitae luctus metus libero eu augue. Morbi purus libero, faucibus adipiscing. Sed lectus."
product7,1,Cushion Set 3 Pieces,images/molla/product/7-1.jpg,images/molla/product/7-1.jpg|images/molla/product/7-2.jpg,Decoration|Beds,"Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product8,1,Flow Slim Armchair,images/molla/product/8-1.jpg,images/molla/product/8-1.jpg|images/molla/product/8-2.jpg|images/molla/product/8-3.jpg,Furniture|Armchairs & Chaises,"Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product9,1,Foldable Tray Table,images/molla/product/9-1.jpg,images/molla/product/9-1.jpg|images/molla/product/9-2.jpg,Decoration|Furniture,"Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product10,1,Garden Armchair,images/molla/product/10-1.jpg,images/molla/product/10-1.jpg|images/molla/product/10-2.jpg,Decoration|Furniture|Armchairs & Chaises,"Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
